,links,names,ratings,price for one,cuisine,no of cisine,delivery time
0,https://www.zomato.com/hyderabad/nazeer-juice-center-charminar,Nazeer Juice Center,4.2,₹100 for one,"Beverages, Juices, Healthy Food",3,26 min
1,https://www.zomato.com/hyderabad/peshawar-2-malakpet,Peshawar,4.1,₹100 for one,"North Indian, Seafood, Kebab, Chinese",4,34 min
2,https://www.zomato.com/hyderabad/new-falak-restaurant-charminar,New Falak Restaurant,4.0,₹100 for one,"South Indian, Biryani",2,35 min
3,https://www.zomato.com/hyderabad/pista-house-20-charminar,Pista House,4.1,₹100 for one,"North Indian, Chinese, Biryani, Kebab, Seafood, Ice Cream, Desserts, Beverages",8,34 min
4,https://www.zomato.com/hyderabad/subhan-bakery-nampally,Subhan Bakery,4.6,₹100 for one,Bakery,1,34 min
5,https://www.zomato.com/hyderabad/al-mataam-arab-mandi-2-malakpet,Al Mataam Arab Mandi,3.8,₹100 for one,"Arabian, North Indian, Mughlai, Hyderabadi, Chinese, Mandi, Desserts",7,45 min
6,https://www.zomato.com/hyderabad/grand-hotel-abids,Grand Hotel,4.1,₹100 for one,"Biryani, North Indian, Mughlai, Chinese, Kebab, Seafood, Desserts, Beverages",8,32 min
7,https://www.zomato.com/hyderabad/al-armaan-hotel-1-falaknuma,Al Armaan Hotel,4.1,₹100 for one,"Hyderabadi, Biryani",2,51 min
8,https://www.zomato.com/hyderabad/pista-house-bakery-charminar,Pista House Bakery,4.3,₹100 for one,"Bakery, Desserts, Shawarma, Sandwich, Pizza, Fast Food, Salad, Beverages",8,29 min
9,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-charminar,Shah Ghouse Hotel & Restaurant,4.2,₹250 for one,"North Indian, Mughlai, Chinese, Mandi, Biryani, Shawarma, Desserts",7,31 min
10,https://www.zomato.com/hyderabad/mehfil-narayanguda,Mehfil,4.1,₹250 for one,"Biryani, Chinese, Kebab, Mughlai, North Indian",5,37 min
11,https://www.zomato.com/hyderabad/shah-ghouse-special-shawarma-charminar,Shah Ghouse Special Shawarma,4.1,₹250 for one,"Shawarma, Bakery, Beverages",3,28 min
12,https://www.zomato.com/hyderabad/new-king-safina-hotel-1-charminar,New King Safina Hotel,4.3,₹250 for one,"Mughlai, Biryani, North Indian",3,26 min
13,https://www.zomato.com/hyderabad/new-grand-restaurant-bakery-begum-bazaar,New Grand Restaurant & Bakery,3.9,₹250 for one,"North Indian, Mughlai, Seafood, Rolls, Chinese, Sichuan, Biryani, Bakery",8,28 min
14,https://www.zomato.com/hyderabad/al-rabea-al-arabi-cafeteria-saroor-nagar,Al Rabea Al Arabi Cafeteria,4.4,₹250 for one,"Wraps, Sandwich, Burger, Fast Food",4,49 min
15,https://www.zomato.com/hyderabad/ms-bakery-sweets-falaknuma,MS Bakery & Sweets,4.2,₹250 for one,"Bakery, Desserts, Fast Food, Pizza",4,36 min
16,https://www.zomato.com/hyderabad/pizza-hut-kacheguda,Pizza Hut,3.9,₹250 for one,"Pizza, Pasta, Italian, Desserts, Beverages",5,43 min
17,https://www.zomato.com/hyderabad/food-track-charminar,Food Track,4.1,₹250 for one,"Fast Food, Burger, Sandwich, Pizza, Shake, Beverages",6,42 min
18,https://www.zomato.com/hyderabad/al-farooj-sonu-kabab-1-ghansi-bazaar,Al Farooj Sonu Kabab,3.9,₹250 for one,"Chinese, North Indian",2,32 min
19,https://www.zomato.com/hyderabad/burger-king-malakpet,Burger King,4.1,₹250 for one,"Burger, Fast Food",2,48 min
20,https://www.zomato.com/hyderabad/hotel-shadab-ghansi-bazaar,Hotel Shadab,4.1,₹250 for one,"North Indian, Mughlai, Kebab, Chinese, Biryani, Fast Food, Beverages",7,26 min
21,https://www.zomato.com/hyderabad/chotus-the-food-people-ghansi-bazaar,Chotu's The Food People,3.7,₹100 for one,"North Indian, Chinese, Biryani",3,32 min
22,https://www.zomato.com/hyderabad/baba-bakery-falaknuma,Baba Bakery,4.0,₹100 for one,"Bakery, North Indian, Desserts, Fast Food",4,42 min
23,https://www.zomato.com/hyderabad/la-pinoz-pizza-1-himayath-nagar,La Pino'z Pizza,4.0,₹100 for one,"Pizza, Pasta, Italian, Fast Food",4,48 min
24,https://www.zomato.com/hyderabad/pista-house-premium-lounge-charminar,Pista House - Premium Lounge,4.1,₹100 for one,"North Indian, Chinese, Italian, Mughlai, Oriental, Seafood, Desserts, Beverages",8,32 min
25,https://www.zomato.com/hyderabad/mcdonalds-2-abids,McDonald's,4.0,₹100 for one,"Burger, Fast Food",2,46 min
26,https://www.zomato.com/hyderabad/scoops-ice-cream-2-charminar,Scoops Ice Cream,4.4,₹100 for one,"Ice Cream, Desserts, Pizza",3,26 min
27,https://www.zomato.com/hyderabad/al-akbar-fast-food-corner-2-charminar,Al Akbar Fast Food Corner,4.1,₹100 for one,"Chinese, Beverages",2,23 min
28,https://www.zomato.com/hyderabad/lucky-restaurant-saroor-nagar,Lucky Restaurant,4.0,₹100 for one,"North Indian, Arabian, Continental, Chinese, Seafood, Mughlai, Desserts, Beverages",8,37 min
29,https://www.zomato.com/hyderabad/masqati-ice-cream-charminar,Masqati Ice Cream,4.4,₹100 for one,"Desserts, Fast Food, Street Food, Pizza, Ice Cream, Beverages",6,26 min
30,https://www.zomato.com/hyderabad/fancy-ice-cream-1-charminar,Fancy Ice Cream,4.1,₹100 for one,"Desserts, Ice Cream",2,28 min
31,https://www.zomato.com/hyderabad/ms-mandi-shawarma-charminar,MS Mandi & Shawarma,3.9,₹100 for one,"North Indian, Mandi, Fast Food, Pizza, Shawarma, Burger, Shake, Beverages",8,35 min
32,https://www.zomato.com/hyderabad/safeena-bakery-sweets-charminar,Safeena Bakery & Sweets,4.4,₹100 for one,"Bakery, Fast Food, Street Food, Andhra",4,34 min
33,https://www.zomato.com/hyderabad/bawarchi-rtc-x-roads,Bawarchi,4.1,₹150 for one,"North Indian, Chinese, Seafood, Biryani, Mughlai, Desserts",6,41 min
34,https://www.zomato.com/hyderabad/kfc-abids,KFC,4.0,₹150 for one,"Burger, Fast Food, Biryani, Desserts, Beverages",5,35 min
35,https://www.zomato.com/hyderabad/cream-stone-ice-cream-begum-bazaar,Cream Stone Ice Cream,4.3,₹150 for one,"Ice Cream, Desserts",2,44 min
36,https://www.zomato.com/hyderabad/hotel-rumaan-1-charminar,Hotel Rumaan,4.0,₹150 for one,"Biryani, Chinese, North Indian",3,23 min
37,https://www.zomato.com/hyderabad/santosh-dhaba-1-begum-bazaar,Santosh Dhaba,3.7,₹150 for one,"North Indian, Chinese, Biryani",3,34 min
38,https://www.zomato.com/hyderabad/shubh-laxmi-dhaba-begum-bazaar,Shubh Laxmi Dhaba,4.0,₹150 for one,"North Indian, Chinese, Biryani, Beverages",4,31 min
39,https://www.zomato.com/hyderabad/paradise-biryani-1-charminar,Paradise Biryani,3.5,₹150 for one,"Biryani, North Indian, Kebab, Chinese, Desserts",5,32 min
40,https://www.zomato.com/hyderabad/red-bucket-biryani-saroor-nagar,Red Bucket Biryani,4.1,₹150 for one,Biryani,1,40 min
41,https://www.zomato.com/hyderabad/4m-biryani-house-musheerabad,4M Biryani House,4.2,₹150 for one,"Biryani, Hyderabadi, North Indian, Chinese",4,43 min
42,https://www.zomato.com/hyderabad/kritunga-himayath-nagar,Kritunga,3.7,₹150 for one,"North Indian, South Indian, Chinese, BBQ, Biryani, Sichuan, Desserts, Beverages",8,48 min
43,https://www.zomato.com/hyderabad/shree-santosh-family-dhaba-himayath-nagar,Shree Santosh Family Dhaba,4.1,₹150 for one,"North Indian, Chinese, Biryani, Desserts, Beverages",5,45 min
44,https://www.zomato.com/hyderabad/balaji-santosh-family-dhaba-amberpet,Balaji Santosh Family Dhaba,4.1,₹150 for one,"Chinese, North Indian, Ice Cream, Beverages",4,43 min
45,https://www.zomato.com/hyderabad/santosh-dhaba-abids,Santosh Dhaba,3.9,₹200 for one,"North Indian, Chinese, Italian, Biryani, Pizza, Pasta, Fast Food, Desserts",8,42 min
46,https://www.zomato.com/hyderabad/ks-bakers-narayanguda,KS Bakers,4.0,₹200 for one,"Bakery, Fast Food, Pizza, Burger",4,42 min
47,https://www.zomato.com/hyderabad/kinara-grand-meerpet,Kinara Grand,4.0,₹200 for one,"North Indian, Chinese, Seafood",3,47 min
48,https://www.zomato.com/hyderabad/bahar-biryani-cafe-dilsukhnagar,Bahar Biryani Cafe,3.8,₹200 for one,"Biryani, North Indian, Chinese, Mughlai, Beverages",5,44 min
49,https://www.zomato.com/hyderabad/karachi-bakery-2-saroor-nagar,Karachi Bakery,4.3,₹200 for one,"Bakery, Chinese, Pizza, Sandwich, Italian, Wraps, Street Food, Fast Food",8,40 min
50,https://www.zomato.com/hyderabad/new-santosh-dhaba-begum-bazaar,New Santosh Dhaba,3.7,₹200 for one,"North Indian, Chinese, Biryani, Beverages",4,35 min
51,https://www.zomato.com/hyderabad/tipsy-topsy-bakery-saroor-nagar,Tipsy Topsy Bakery,3.9,₹200 for one,"Bakery, Burger, Rolls, Pizza, Fast Food, Chinese",6,36 min
