,Unnamed: 0,links,names,ratings,price for one,cuisine,location,outlets,home_delivery,takeaway_available,vegetarian_only,indoor_seating
0,0,https://www.zomato.com/hyderabad/al-armaan-hotel-1-falaknuma,Al Armaan Hotel,4.1,₹150 for one,"Hyderabadi, Biryani","Falaknuma, Hyderabad",0,yes,yes,no,no
1,1,https://www.zomato.com/hyderabad/peshawar-2-malakpet,Peshawar,4.1,₹150 for one,"North Indian, Seafood, Kebab, Chinese","Malakpet, Hyderabad",2,yes,yes,no,yes
2,2,https://www.zomato.com/hyderabad/balaji-santhosh-dhaba-kacheguda,Balaji Santhosh Dhaba,4.0,₹150 for one,"North Indian, Chinese, Biryani","Kacheguda, Hyderabad",0,yes,yes,no,yes
3,3,https://www.zomato.com/hyderabad/pista-house-bakery-saroor-nagar,Pista House Bakery,4.1,₹150 for one,"Bakery, Desserts, Shawarma, Sandwich, Pizza, Fast Food, Salad, Beverages","Saroor Nagar, Hyderabad",15,no,no,no,no
4,4,https://www.zomato.com/hyderabad/ohris-cake-nation-basheer-bagh,Ohri's Cake Nation,4.3,₹150 for one,"Bakery, Desserts, Ice Cream","Basheer Bagh, Hyderabad",13,yes,yes,no,no
5,5,https://www.zomato.com/hyderabad/mehfil-narayanguda,Mehfil,4.1,₹150 for one,"Biryani, Chinese, Kebab, Mughlai, North Indian","Narayanguda, Hyderabad",9,yes,yes,no,yes
6,6,https://www.zomato.com/hyderabad/scoops-ice-cream-2-charminar,Scoops Ice Cream,4.4,₹150 for one,"Ice Cream, Desserts, Pizza","Charminar, Hyderabad",58,yes,yes,no,yes
7,7,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-charminar,Shah Ghouse Hotel & Restaurant,4.2,₹150 for one,"North Indian, Mughlai, Chinese, Mandi, Biryani, Shawarma, Desserts","Charminar, Hyderabad",6,yes,yes,no,yes
8,8,https://www.zomato.com/hyderabad/new-santosh-dhaba-begum-bazaar,New Santosh Dhaba,3.7,₹150 for one,"North Indian, Chinese, Biryani, Beverages","Begum Bazaar, Hyderabad",10,yes,yes,no,yes
9,9,https://www.zomato.com/hyderabad/new-king-safina-hotel-1-charminar,New King Safina Hotel,4.3,₹150 for one,"Mughlai, Biryani, North Indian","Charminar, Hyderabad",0,yes,yes,no,yes
10,10,https://www.zomato.com/hyderabad/ms-mandi-shawarma-charminar,MS Mandi & Shawarma,3.9,₹150 for one,"North Indian, Mandi, Fast Food, Pizza, Shawarma, Burger, Shake, Beverages","Charminar, Hyderabad",0,yes,yes,no,yes
