,Unnamed: 0,links,names,ratings,price for one,cuisine,no of cisine,delivery time,location,outlets,home_delivery,takeaway_available,vegetarian_only,indoor_seating
0,0,https://www.zomato.com/hyderabad/fancy-ice-cream-1-charminar,Fancy Ice Cream,4.1,₹100 for one,"Desserts, Ice Cream",2,28 min,"Charminar, Hyderabad",3,yes,yes,yes,yes
1,1,https://www.zomato.com/hyderabad/peshawar-2-malakpet,Peshawar,4.1,₹100 for one,"North Indian, Seafood, Kebab, Chinese",4,37 min,"Malakpet, Hyderabad",2,yes,yes,no,yes
2,2,https://www.zomato.com/hyderabad/nazeer-juice-center-charminar,Nazeer Juice Center,4.2,₹100 for one,"Beverages, Juices, Healthy Food",3,27 min,"Charminar, Hyderabad",0,yes,yes,yes,yes
3,3,https://www.zomato.com/hyderabad/pista-house-20-charminar,Pista House,4.1,₹100 for one,"North Indian, Chinese, Biryani, Kebab, Seafood, Ice Cream, Desserts, Beverages",8,35 min,"Charminar Area, Charminar, Hyderabad",23,yes,yes,no,yes
4,4,https://www.zomato.com/hyderabad/hotel-nayaab-charminar,Hotel Nayaab,4.0,₹100 for one,"North Indian, Mughlai, Chinese, Beverages",4,29 min,"Charminar, Hyderabad",0,yes,yes,no,yes
5,5,https://www.zomato.com/hyderabad/new-falak-restaurant-charminar,New Falak Restaurant,4.0,₹100 for one,"South Indian, Biryani",2,40 min,"Charminar, Hyderabad",0,yes,yes,no,yes
6,6,https://www.zomato.com/hyderabad/subhan-bakery-nampally,Subhan Bakery,4.6,₹100 for one,Bakery,1,37 min,"Nampally, Hyderabad",0,yes,yes,no,no
7,7,https://www.zomato.com/hyderabad/cake-dlicious-dilsukhnagar,Cake D'licious,3.8,₹100 for one,"Bakery, Desserts",2,54 min,"Dilsukhnagar, Hyderabad",0,no,no,no,no
8,8,https://www.zomato.com/hyderabad/pista-house-bakery-charminar,Pista House Bakery,4.3,₹100 for one,"Bakery, Desserts, Shawarma, Sandwich, Pizza, Fast Food, Salad, Beverages",8,33 min,"Charminar, Hyderabad",15,no,no,no,no
9,9,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-charminar,Shah Ghouse Hotel & Restaurant,4.2,₹250 for one,"North Indian, Mughlai, Chinese, Mandi, Biryani, Shawarma, Desserts",7,32 min,"Charminar, Hyderabad",6,yes,yes,no,yes
